Id:1, country name:Afghanistan, number city:1, number addres:1
Id:2, country name:Algeria, number city:3, number addres:3
Id:3, country name:American Samoa, number city:1, number addres:1
Id:4, country name:Angola, number city:2, number addres:1
Id:5, country name:Anguilla, number city:1, number addres:1
Id:6, country name:Argentina, number city:13, number addres:10
Id:7, country name:Armenia, number city:1, number addres:1
Id:8, country name:Australia, number city:1, number addres:2
Id:9, country name:Austria, number city:3, number addres:3
Id:10, country name:Azerbaijan, number city:2, number addres:2
Id:11, country name:Bahrain, number city:1, number addres:0
Id:12, country name:Bangladesh, number city:3, number addres:3
Id:13, country name:Belarus, number city:2, number addres:1
Id:14, country name:Bolivia, number city:2, number addres:2
Id:15, country name:Brazil, number city:28, number addres:25
Id:16, country name:Brunei, number city:1, number addres:1
Id:17, country name:Bulgaria, number city:2, number addres:1
Id:18, country name:Cambodia, number city:2, number addres:1
Id:19, country name:Cameroon, number city:2, number addres:2
Id:20, country name:Canada, number city:7, number addres:6
Id:21, country name:Chad, number city:1, number addres:0
Id:22, country name:Chile, number city:3, number addres:2
Id:23, country name:China, number city:53, number addres:35
Id:24, country name:Colombia, number city:6, number addres:5
Id:25, country name:Congo, number city:2, number addres:2
Id:26, country name:Czech Republic, number city:1, number addres:1
Id:27, country name:Dominican Republic, number city:3, number addres:3
Id:28, country name:Ecuador, number city:3, number addres:1
Id:29, country name:Egypt, number city:6, number addres:4
Id:30, country name:Estonia, number city:1, number addres:1
Id:31, country name:Ethiopia, number city:1, number addres:1
Id:32, country name:Faroe Islands, number city:1, number addres:1
Id:33, country name:Finland, number city:1, number addres:1
Id:34, country name:France, number city:4, number addres:4
Id:35, country name:French Guiana, number city:1, number addres:1
Id:36, country name:French Polynesia, number city:2, number addres:2
Id:37, country name:Gambia, number city:1, number addres:0
Id:38, country name:Germany, number city:7, number addres:7
Id:39, country name:Greece, number city:2, number addres:1
Id:40, country name:Greenland, number city:1, number addres:1
Id:41, country name:Holy See Vatican City State, number city:1, number addres:1
Id:42, country name:Hong Kong, number city:1, number addres:1
Id:43, country name:Hungary, number city:1, number addres:0
Id:44, country name:India, number city:60, number addres:53
Id:45, country name:Indonesia, number city:14, number addres:9
Id:46, country name:Iran, number city:8, number addres:8
Id:47, country name:Iraq, number city:1, number addres:0
Id:48, country name:Israel, number city:4, number addres:3
Id:49, country name:Italy, number city:7, number addres:4
Id:50, country name:Japan, number city:31, number addres:25
Id:51, country name:Kazakstan, number city:2, number addres:1
Id:52, country name:Kenya, number city:2, number addres:2
Id:53, country name:Kuwait, number city:1, number addres:1
Id:54, country name:Latvia, number city:2, number addres:2
Id:55, country name:Liechtenstein, number city:1, number addres:1
Id:56, country name:Lithuania, number city:1, number addres:0
Id:57, country name:Madagascar, number city:1, number addres:1
Id:58, country name:Malawi, number city:1, number addres:1
Id:59, country name:Malaysia, number city:3, number addres:3
Id:60, country name:Mexico, number city:30, number addres:21
Id:61, country name:Moldova, number city:1, number addres:1
Id:62, country name:Morocco, number city:3, number addres:2
Id:63, country name:Mozambique, number city:3, number addres:3
Id:64, country name:Myanmar, number city:2, number addres:2
Id:65, country name:Nauru, number city:1, number addres:0
Id:66, country name:Nepal, number city:1, number addres:1
Id:67, country name:Netherlands, number city:5, number addres:4
Id:68, country name:New Zealand, number city:1, number addres:1
Id:69, country name:Nigeria, number city:13, number addres:12
Id:70, country name:North Korea, number city:1, number addres:1
Id:71, country name:Oman, number city:2, number addres:1
Id:72, country name:Pakistan, number city:5, number addres:5
Id:73, country name:Paraguay, number city:3, number addres:3
Id:74, country name:Peru, number city:4, number addres:2
Id:75, country name:Philippines, number city:20, number addres:16
Id:76, country name:Poland, number city:8, number addres:4
Id:77, country name:Puerto Rico, number city:2, number addres:2
Id:78, country name:Romania, number city:2, number addres:1
Id:79, country name:Runion, number city:1, number addres:1
Id:80, country name:Russian Federation, number city:28, number addres:25
Id:81, country name:Saint Vincent and the Grenadines, number city:1, number addres:1
Id:82, country name:Saudi Arabia, number city:5, number addres:5
Id:83, country name:Senegal, number city:1, number addres:1
Id:84, country name:Slovakia, number city:1, number addres:1
Id:85, country name:South Africa, number city:11, number addres:10
Id:86, country name:South Korea, number city:5, number addres:4
Id:87, country name:Spain, number city:5, number addres:4
Id:88, country name:Sri Lanka, number city:1, number addres:1
Id:89, country name:Sudan, number city:2, number addres:2
Id:90, country name:Sweden, number city:1, number addres:1
Id:91, country name:Switzerland, number city:3, number addres:2
Id:92, country name:Taiwan, number city:10, number addres:6
Id:93, country name:Tanzania, number city:3, number addres:2
Id:94, country name:Thailand, number city:3, number addres:3
Id:95, country name:Tonga, number city:1, number addres:1
Id:96, country name:Tunisia, number city:1, number addres:1
Id:97, country name:Turkey, number city:15, number addres:9
Id:98, country name:Turkmenistan, number city:1, number addres:1
Id:99, country name:Tuvalu, number city:1, number addres:1
Id:100, country name:Ukraine, number city:6, number addres:4
Id:101, country name:United Arab Emirates, number city:3, number addres:3
Id:102, country name:United Kingdom, number city:8, number addres:4
Id:103, country name:United States, number city:35, number addres:30
Id:104, country name:Venezuela, number city:7, number addres:5
Id:105, country name:Vietnam, number city:6, number addres:3
Id:106, country name:Virgin Islands, number city:1, number addres:1
Id:107, country name:Yemen, number city:4, number addres:4
Id:108, country name:Yugoslavia, number city:2, number addres:1
Id:109, country name:Zambia, number city:1, number addres:1
